Група;к1;т1;д1;сем;к2;т2;д2;Изпит Т;Изпит З;Теория;Задачи;Точки;Оценка
Група 1;;;;;;;;;;;;;
Група 1;0,95;3;2,7;1,5;0,5;0;;28;9;31;14,65;;
Група 1;2,6;3;3,7;18;2,9;2;4,1;30;19;35;50,3;85,3;5
Група 1;1;1;1,5;14;2;0;3,2;14;7;15;28,7;43,7;3
Група 1;2,4;3;4;12,5;3,6;5;4,35;35;26;43;52,85;95,85;5
Група 1;;;;;;;;;;;;;
Група 1;2,8;3;4,1;19;4,8;4;4,7;35;22;42;57,4;99,4;6
Група 1;0,6;1;1,4;6,5;0,5;0;2,1;20;11,5;21;22,6;43,6;3
Група 1;2,1;4;2,2;11;2,1;3;2,2;27;15;34;34,6;68,6;4
Група 1;;3;2,55;14;;;;35;9;38;25,55;63,55;4
Група 1;2;2;1,2;2;1,3;0;0,4;24;7;26;13,9;;
Група 1;5;5;5;30;4,9;5;4,1;40;29;50;78;128;6
Група 1;;5;1,2;6;1,7;0;2,4;15;11;20;22,3;42,3;3
Група 1;5;3;4;26;4,4;0;4,7;30;22;33;66,1;99,1;6
Група 1;;2;3,5;8,5;;0;;35;12;37;24;61;4
Група 1;;;;;;;;;;;;;
Група 1;0,8;1;0,65;7;;;;5;;6;8,45;;
Група 1;5;5;4,2;26;4,1;3;4,4;40;18;48;61,7;109,7;6
Група 1;1,25;2;1,4;8;1,8;0;1,3;27;11;29;24,75;53,75;3
Група 1;3,8;3;4,35;15,5;4,2;1;4;40;24;44;55,85;99,85;6
Група 1;;;;;;;;;;;;;
Група 1;3,4;4;4,1;16,5;1,9;3;;35;15;42;40,9;82,9;5
Група 1;;;2,6;5;;0;;20;4;20;11,6;;
Група 1;;;;4;;;;0;;0;4;;
Група 1;2,35;3;4,05;8,5;3,4;2;1,4;30;12,5;35;32,2;67,2;4
Група 1;2,15;4;1,3;11;2,5;2;2,1;40;9;46;28,05;74,05;4
Група 1;4,1;3;3,9;14,5;;;;15;14;18;36,5;54,5;3
Група 1;5;5;5;23,5;4,8;3;5;40;26;48;69,3;117,3;6
Група 2;0,2;1;2,7;3;1;0;0;25;6;26;12,9;;
Група 2;4,9;5;5;30;5;4;5;40;29;49;78,9;127,9;6
Група 2;0,8;2;2,9;6;0,3;3;3,7;35;13;40;26,7;66,7;4
Група 2;0;1;1,5;3;0,1;0;1,1;14;6;15;11,7;;
Група 2;0,7;2;4;12;1,1;0;1,3;20;14;22;33,1;55,1;3
Група 2;3;4;5;18;3;2;3,6;40;25;46;57,6;103,6;6
Група 2;0,2;1;2,4;7;;;3,6;30;7;31;20,2;51,2;3
