Група;к1;т1;д1;сем;к2;т2;д2;Изпит Т;Изпит З;Теория;Задачи;Точки;Оценка
Група 2;0,4;2;3,2;1;0,3;0;2,1;40;5;42;12;;
Група 2;2,5;2;3;15;0,1;0;2,5;33;16;35;39,1;74,1;4
Група 2;0,3;;0;0;;;0;;;;0,3;;
Група 2;0,2;1;3,2;6;;;0;30;13;31;22,4;53,4;3
Група 2;0,5;3;2;10;0,2;3;1,2;35;19;41;32,9;73,9;4
Група 2;1,3;2;0;0;;;0;;;2;1,3;;
Група 2;1,1;3;1,8;7;;;3;25;12;28;24,9;52,9;3
Група 2;1,2;2;0,6;7;2,6;0;1;20;12;22;24,4;46,4;3
Група 2;2;3;3,8;13;1,1;1;3,3;20;;24;23,2;47,2;3
Група 2;0;1;0;0;0;2;2,1;10;;13;2,1;;
Група 2;2,7;1;3,3;11;0;0;2,9;0;;1;19,9;;
Група 2;0,5;3;0,7;3;0,2;4;0;25;17;32;21,4;53,4;3
Група 2;0;;0;0;;;0;15;0;15;0;;
Група 2;3,6;2;4,4;17;2,9;;0;35;18;37;45,9;82,9;5
Група 2;0,2;1;0;2;;0;0;0;;1;2,2;;
Група 2;3,5;3;4,9;25;3,8;1;4,7;37;28;41;69,9;110,9;6
Група 2;0,6;3;1,1;2;0,6;2;2,4;25;14;30;20,7;50,7;3
Група 2;0,1;;1,9;2;;;0;0;;0;4;;
Група 2;2,3;5;1,7;6;2,2;1;0;35;15;41;27,2;68,2;4
Група 2;1,3;3;2,3;12;3;1;3,1;40;17;44;38,7;82,7;5
Група 2;4,7;4;3,9;16;2,2;2;2,5;40;25;46;54,3;100,3;6
Група 2;5;3;4,8;24;3,5;;3,6;35;27;38;67,9;105,9;6
Група 2;1,8;4;4,6;20;4;0;3,5;25;;29;33,9;62,9;4
Група 3;0,3;4;1,7;2;1,9;1;3,4;30;16;35;25,3;60,3;4
Група 3;0,2;2;;1;0;1;1,9;30;12;33;15,1;;
Група 3;0,2;;0,3;;;;;0;;0;0,5;;
Група 3;2,7;;;14;1,5;;;35;14;35;32,2;67,2;4
Група 3;2,9;2;2,9;13;0,7;0;1,5;0;;2;21;;
Група 3;5;4;4,3;26;2,3;0;2,4;40;27;44;67;111;6
Група 3;0,2;2;1;3;0,1;0;;25;10;27;14,3;;
Група 3;2,7;0;4,6;20;5;1;2,4;40;20;41;54,7;95,7;5
Група 3;2,2;3;3,8;16;2,7;2;4,3;22;20;27;49;76;4
Група 3;;;;;;;;;;;;;
Група 3;2,5;2;;8;;2;2;35;10;39;22,5;61,5;4
Група 3;3,9;;3,8;20;1,7;2;4,4;40;25;42;58,8;100,8;6
Група 3;;;;;;;;;;;;;
Група 3;0,3;0;2,7;5;0;0;;25;12;25;20;45;3
Група 3;;;;;;;;;;;;;
Група 3;3,7;4;;10;0,7;2;;33;16;39;30,4;69,4;4
Група 3;3,55;4;4,3;23;4;5;3,9;40;25;49;63,75;112,75;6
Група 3;2,8;3;3,1;16;1,3;0;3,8;40;20;43;47;90;5
Група 3;2,8;;1,7;9;3,1;0;;0;;0;16,6;;
Група 3;2,5;3;2,6;8;2,3;1;4,4;30;13;34;32,8;66,8;4
Група 3;0,7;4;2,3;10;2,2;1;3,8;35;26;40;45;85;5
Група 3;0,8;2;0,2;1;0;0;2,9;0;;2;4,9;;
Група 3;5;5;4,8;30;5;5;5;40;29;50;78,8;128,8;6
Група 3;4,9;5;4,1;15;4,2;4;3,7;40;26;49;57,9;106,9;6
Група 3;0,8;2;0,9;6;0;;;0;;2;7,7;;
Група 3;;;;;;;;;;;;;
Група 3;0,2;1;1,7;8;0,2;1;;0;;2;10,1;;
Група 4;;;;;;;;;;;;;
Група 4;2;4;1,9;0;0,2;0;;18;8,5;22;12,6;;
Група 4;3,5;2;4,4;29;4,1;2;4;36;12,5;40;57,5;97,5;5
Група 4;3,4;0;0,65;5;1,2;3;2;20;10;23;22,25;45,25;3
Група 4;;;;;;;;;;;;;
Група 4;;;;;;;;;;;;;
Група 4;1,5;2;4,4;16;;1;;23;6,5;26;28,4;54,4;3
Група 4;0;1;;0;1;;;17;3;18;4;;
Група 4;1;2;1,65;3;0;0;;35;12;37;17,65;;
Група 4;;;;;;;;;;;;;
Група 4;1;4;1,1;3;0;0;2,6;35;13;39;20,7;59,7;4
Група 4;1,4;2;;19;1;1;0,5;25;;28;21,9;49,9;3
Група 4;4,3;5;1,65;16;2,6;;;25;11,5;30;36,05;66,05;4
Група 4;1,4;1;3;9;;2;;25;14;28;27,4;55,4;3
Група 4;3,4;1;2,4;6;2,1;0;;25;11;26;24,9;50,9;3
Група 4;3,5;1;1,4;1;0;0;;25;8;26;13,9;;
Група 4;1;1;2;0;0,2;;0,5;23;11;24;14,7;;
Група 4;1;1;1,35;9;4;0;;;;1;15,35;;
Група 4;2,5;2;4;20;5;2;3,8;35;26,5;39;61,8;100,8;6
Група 4;;;;;;;;;;;;;
Група 4;;;;6;;;;;;0;6;;
Група 4;3,4;2;1,65;1;0;;;14;12,5;16;18,55;;
Група 4;1;2;;7;2;0;;20;10;22;20;42;3
Група 4;0,5;1;0,6;0;1,2;0;;0;;1;2,3;;
Група 4;4,5;5;3,75;28;5;5;;40;30;50;71,25;121,25;6
Група 4;;;;;;;;;;;;;
Група 4;1;2;1,35;10;;0;;17;15,5;19;27,85;46,85;3
Група 4;0,5;;;7;;;;20;14;20;21,5;41,5;3
;;;;;;;;;;;;;
Група 2;2,5;4;0,8;12;2;;;30;9;34;26,3;60,3;4
Група 2;4;;4,1;12;0,6;;;27;17;27;37,7;64,7;4
Група 2;0;;1,5;7;;;;;;;8,5;;
Група 2;;;;;;;;15;;15;0;;
;;;;;;;;11;;11;0;;
;;;;;;;;25;23;25;23;48;3
