Група;т1;к1;д1;сем;т2;к2;д2;Изпит Т;Изпит З;Теория;Задачи;Точки;Оценка
Група 4;2;3,1;3,9;19;3;1,2;2,6;35;14,5;40;44,3;84,3;5
Група 4;2;;3,6;12,5;1;2,6;2,4;28;12;31;33,1;64,1;4
Група 4;2;1,3;3,7;10;0;3,1;2,6;30;7,5;32;28,2;60,2;4
Група 4;3;1,1;3,4;19,5;1;0,5;2;11;;15;26,5;41,5;3
Група 4;4;4,4;3,1;26,5;3;4;;40;26;47;64;111;6
Група 4;2;0,5;2,9;5,5;0;;;25;17,2;27;26,1;53,1;3
Група 4;3;0,2;3,7;12;0;0,9;2,6;5;;8;19,4;27,4;2
Група 4;2;1,3;3,5;26,5;1;;2,6;35;13,8;38;47,7;85,7;5
Група 4;0;0,2;0,4;1,5;;;;10;;10;2,1;12,1;2
Група 4;4;4,2;4,8;30;2;4,7;3,2;40;30;46;76,9;122,9;6
Група 4;1;0,5;2,5;6,5;;;;;;1;9,5;10,5;2
Група 4;1;0,2;3,6;6;0;0,7;2,5;15;14,1;16;27,1;43,1;3
Група 4;2;0,4;2,9;17;0;;2,1;30;;32;22,4;54,4;3
Група 4;4;4,8;2,2;28;0;3,1;;35;15;39;53,1;92,1;5
Група 4;3;1,2;1;21;1;2,7;;15;17,8;19;43,7;62,7;4
Група 4;2;0,2;1,1;;;;0,7;;;2;2;4;2
Група 4;2;1;3,7;11;0;0,8;2,7;15;10,5;17;29,7;46,7;3
Група 4;0;1;2,7;3;;0,7;0,7;30;10;30;18,1;48,1;2
Група 4;0;0,7;3,8;10,5;0;0,8;2,8;20;10;20;28,6;48,6;3
Група 4;0;0,2;2,5;4;0;0,4;1,7;5;;5;8,8;13,8;2
Група 4;2;;1,5;;;;;;;2;1,5;3,5;2
;;;;;;;;;;;;;
Група 1;;1,7;2,6;10,5;;;0,9;35;13,5;35;29,2;64,2;4
Група 1;;0,2;2,2;18;;2;;30;11,6;30;34;64;4
Група 1;;;2,1;13;;;1,2;40;8,5;40;24,8;64,8;4
Група 2;;1;1,2;5;;1;2;37;10;37;20,2;57,2;3
Група 2;;3,5;1,9;14;;0,6;;30;;30;20;50;3
Група 4;4;3,1;1,8;17;;;;35;;39;21,9;60,9;4
Група 3;;0,8;2,3;12;;;0,9;33;14,4;33;30,4;63,4;4
Група 3;1;0,8;2,4;2,5;;0,6;0,8;30;16,5;31;23,6;54,6;3
Група 4;;0,1;1,3;8;;;;15;;15;9,4;24,4;2
Група 4;1;0,1;4,3;14,5;0;0,1;2,6;33;3;34;24,6;58,6;3
Група 4;4;1,6;1,9;14;0;2,6;1,2;33;;37;21,3;58,3;3
Група 4;1;0,4;2,2;12;0;2;0,6;25;10;26;27,2;53,2;3
Група 4;;0,4;1,9;7;;;;20;12;20;21,3;41,3;3
Група 2;;;;;;;;25;7;25;7;32;2
Група 2;;;;;;;;15;;15;0;15;2
;;;;;;;;;;;;;
