Група;к1;т1;д1;сем;к2;т2;д2;Изпит Т;Изпит З;Теория;Задачи;Точки;Оценка
Група 3;2,3;4;;7;3;5;4,5;24;10,5;33;27,3;60,3;4
Група 3;0,7;1;;9;;;;0;;1;9,7;10,7;2
Група 3;;;;;;;;0;;0;0;0;2
Група 3;1;1;1,7;5;1;5;4,8;35;15;41;28,5;69,5;4
Група 3;;;;;;;;;;;;;
Група 3;2;;;10;;;;;0;0;12;12;2
Група 3;;1;1,8;2,5;;;;14;0;15;4,3;19,3;2
Група 3;0,1;2;2,4;8;0,5;3;4,2;35;10;40;25,2;65,2;4
Група 4;;;;;;;;;;;;;
Група 4;;;;;;;;;;;;;
Група 4;4,2;1;3;7;3,3;;2,5;23;10;24;30;54;3
Група 4;0,7;;1,6;15;;;;33;12;33;29,3;62,3;4
Група 4;4,3;3;3,4;14;4,5;4;2,9;40;16;47;45,1;92,1;5
Група 4;;;;1,5;1;;1,7;;6;0;10,2;10,2;2
Група 4;2,7;2;2,8;9,5;2,9;3,5;3,1;30;13;35,5;34;69,5;4
Група 4;3,7;2;0,9;9;;0;1,5;30;18;32;33,1;65,1;4
Група 4;2,1;2;2,8;10;2,9;4,5;2,8;22;5;28,5;25,6;54,1;3
Група 4;1,7;0;2,4;4;2,2;4,5;2,9;20;12;24,5;25,2;49,7;3
Група 4;1,1;2;2;2;1,7;1;4,5;17;2;20;13,3;33,3;2
Група 4;2,2;2,5;3,2;10,5;2;4;2,9;38;15;44,5;35,8;80,3;5
Група 4;3;1;2,3;3;2,8;1;3;40;5;42;19,1;61,1;2
Група 4;2,6;2;0,9;11;1,1;2;1,5;30;10;34;27,1;61,1;4
Група 4;2,7;4;3,7;16;2,2;3;4,3;39;17,5;46;46,4;92,4;5
Група 4;1,4;1;1,5;5;1;;1,5;5;;6;10,4;16,4;2
Група 4;;0;;;;;;;;;;;
Група 4;3,8;1,5;2;5;3,6;4;2,7;33;10;38,5;27,1;65,6;4
Група 4;2,3;3;3,4;7;3,3;5;1,6;40;14,5;48;32,1;80,1;5
Група 4;5;3;4,6;21,5;5;4,5;5;40;19;47,5;60,1;107,6;6
Група 4;0,7;2;1,7;1,5;1,5;4;2,8;10;3;16;11,2;27,2;2
Група 4;;2;1,9;1;;;;0;;2;2,9;4,9;2
Група 4;1,5;0;1,2;5;1;0;1,5;30;5;30;15,2;45,2;2
Група 4;3,9;2;2,5;8;2,3;4;4,7;27;7,5;33;28,9;61,9;4
Група 4;;;;;;;;;;;;;
Група 4;1;3;0,2;0,5;0,7;3,5;1,6;25;1,5;31,5;5,5;37;2
